telemetry_id,flap_p_kmh,flap_v_kmh,flap_b_kmh,gear_kmh
b_239_finland,240,380,425,280
b_24d,263,263,263,263
b_25j_1,294,320,382,294
b_25j_20,294,320,382,294
b_25j_30_china,294,320,382,294
b_25j_30_vvs_ussr,294,320,382,294
b_26b_c,297,320,382,265
b_26c_france,297,320,382,265
b_34,235,313,328,235
b_48_firecrest,272,404,430,360
b_52h,352,424,468,450
b_66b,370,480,502,463
ba_65_a80,250,451,490,400
ba_65_k14_l,250,451,490,400
bb-1,340,340,395,350
be_6,220,280,291,
beaufighter_mk1_40mm,216,242,354,242
beaufighter_mk21,216,242,354,242
beaufighter_mk6c,216,242,354,242
beaufighter_mkx,216,242,354,242
beaufort_mkviii,216,383,415,242
bf-109a_1,250,371,388,280
bf-109b_2,250,371,388,280
bf-109c_1,250,371,388,280
bf-109c_1_promo,250,371,388,280
bf-109e-1,300,449,478,320
bf-109e-3,300,449,478,320
bf-109e-3_japan,280,471,488,320
bf-109e-4,280,471,488,320
bf-109e-7,280,471,488,320
bf-109f-1,260,409,438,360
bf-109f-2,260,409,438,360
bf-109f-4,260,409,438,360
bf-109f-4_hungary,260,409,438,360
bf-109f-4_trop,260,409,438,360
bf-109f-4_usa,260,409,438,360
bf-109g-10,260,409,438,360
bf-109g-14,260,409,438,360
bf-109g-14as,260,409,438,360
bf-109g-2,260,409,438,360
bf-109g-2_finland,260,409,438,360
bf-109g-2_hungary,260,409,438,360
bf-109g-2_romania,260,409,438,360
bf-109g-6,260,409,438,360
bf-109g-6_erla_finland,260,409,438,360
bf-109g-6_finland,260,409,438,360
bf-109k-4,260,409,438,360
bf-109z,260,409,438,360
bf-110c-4,290,439,468,320
bf-110c-6,290,439,468,320
bf-110f-2,290,439,468,320
bf-110g-2,290,439,468,320
bf2c_1,,,,280
bf_109t_2,280,471,488,320
bf_110g_4,290,439,468,320
bf_110g_4_hungary,290,439,468,320
bi,320,320,320,420
blenheim_mkiv,211,289,304,236
boomerang_mki,225,445,488,320
boomerang_mkii,225,445,488,320
boston_mk_1,296,407,428,296
br_20_dr,310,310,310,310
br_20m_m1,310,310,310,310
br_693_ab2,294,320,382,295
breda_88,262,262,262,262
brigand_b1,342,342,342,342
btd-1,253,348,366,253
buccaneer_s1,370,463,518,416
buccaneer_s2,370,463,518,416
buccaneer_s2b,370,463,518,416
bv-138c-1,185,271,287,
bv-155b-1,260,409,438,360
bv-238,250,377,401,250
c_3604,270,352,423,320
canberra_bimk6,320,320,320,450
canberra_bmk2,320,320,320,450
caudron_cr714,240,310,333,240
cf_188a_canada,700,700,700,700
corsair_fmk2,245,278,470,730
cr_32,,,,
cr_32_bis,,,,
cr_32_quater,,,,
cw_21,240,323,355,290
d3a1,280,429,458,
d4y1,280,429,458,350
d4y2,280,429,458,350
d4y3,280,429,458,350
d_371,,,,
d_371_hs9,,,,
d_373,240,240,240,
d_500,,,,
d_501,,,,
d_510,,,,
d_510c,,,,
d_520,280,366,385,320
d_520_france,280,366,385,320
d_521,280,366,385,340
db_3a_china,280,280,280,320
db_3b,280,280,280,320
db_7,296,407,428,296
db_lk,280,280,280,320
dh_110_sea_vixen,407,407,407,407
do_17e_1,320,469,498,450
do_17z_2,300,454,480,350
do_17z_7,300,454,480,350
do_217e_2,300,300,300,300
do_217e_4,300,300,300,300
do_217j_1,350,350,350,350
do_217j_2,300,300,300,300
do_217k_1,300,300,300,300
do_217m_1,300,300,300,300
do_217n_1,300,300,300,300
do_217n_2,300,300,300,300
do_335a_0,285,285,285,285
do_335a_1,285,285,285,285
do_335b_2,285,285,285,285
douglas_a_1h,252,346,364,680
douglas_ad_2,680,680,680,680
douglas_ad_4,252,346,364,680
douglas_ad_4_france,252,346,364,680
douglas_ad_4na_france,680,680,680,680
ef_2000_aesa,700,700,700,700
ef_2000_block_10,700,700,700,700
ef_2000_fgr4,700,700,700,700
ef_2000_typhoon_aesa,700,700,700,700
ef_2000a,700,700,700,700
ef_2000a_aesa,700,700,700,700
er-2_ach30b_early,270,419,448,300
er-2_ach30b_late,270,419,448,300
er-2_m105_mv3,270,419,448,300
er-2_m105_tat,270,419,448,300
er-2_m105r_lu2b,270,419,448,300
er-2_m105r_tat,270,419,448,300
etndard_4m,426,426,426,426
f-100a_china,,,,447
f-100d,435,590,620,447
f-100d_france,435,590,620,447
f-104a,546,546,546,546
f-104a_china,546,546,546,546
f-104c,546,546,546,546
f-104g,546,546,546,546
f-104g_belgium,546,546,546,546
f-104g_china,546,546,546,546
f-104g_italy,546,546,546,546
f-104j,546,546,546,546
f-104s,546,546,546,546
f-104s_asa,546,546,546,546
f-104s_cb,546,546,546,546
f-105d,546,546,546,546
f-4c,463,463,463,463
f-4e,463,463,463,463
f-4e_iaf,463,463,463,463
f-4e_kurnass_2000,463,463,463,463
f-4ej,463,463,463,463
f-4ej_adtw,463,463,463,463
f-4ej_kai,463,463,463,463
f-4f,463,463,463,463
f-4f_kws_lv,463,463,463,463
f-4f_late,463,463,463,463
f-4j,463,463,463,463
f-4jk,463,463,463,463
f-4k,463,463,463,463
f-4m_fgr2,463,463,463,463
f-4s,463,463,463,463
f-5a,555,560,926,444
f-5a_china,555,560,926,444
f-5a_thailand,555,560,926,444
f-5ag_norway,555,560,926,444
f-5c,555,560,926,444
f-5e,482,482,482,482
f-5e_aidc,482,482,482,482
f-5e_fcu_thailand,482,482,482,482
f-5e_switzerland,482,482,482,482
f-5t_thailand,482,482,482,482
f-5th_thailand,482,482,482,482
f-80,360,509,538,380
f-80a,360,509,538,380
f-82e,265,520,651,314
f-84b,350,499,528,320
f-84f,417,516,535,417
f-84f_france,417,516,535,417
f-84f_germany,417,516,535,417
f-84f_iaf,417,516,535,417
f-84f_israel_iaf,417,516,535,417
f-84f_italy,417,516,535,417
f-84g,350,499,528,320
f-84g-31-re_china,350,499,528,320
f-84g_china,350,499,528,320
f-84g_france,350,499,528,320
f-84g_italy,350,499,528,320
f-84g_thailand,350,499,528,320
f-86_canadair_german,350,551,590,350
f-86_cl_13_mk4_italy,350,551,590,350
f-86_cl_13b_mk6,350,551,590,350
f-86a-5,350,551,590,350
f-86f-2,350,551,590,350
f-86f-25,350,551,590,350
f-86f-30_china,350,551,590,350
f-86f-30_japan,350,551,590,350
f-86f-35,350,551,590,350
f-86f-40_china,350,551,590,350
f-86f-40_japan,350,551,590,350
f-86f-40_japan_blue_impulse,350,551,590,350
f-86k_late,370,556,593,350
f-86k_late_german,370,556,593,350
f-86k_late_italy,370,556,593,350
f-89b,379,448,554,379
f-89d,379,448,554,379
f-8e,428,428,428,428
f-8e_fn,428,428,428,428
f1,485,485,485,485
f11f_1_late,500,500,500,447
f1m2,240,337,356,
f2a-1,260,409,438,720
f2a-1_thach,260,409,438,720
f2a-3,260,409,438,720
f2g-1,248,293,382,720
f2h-2,325,474,503,342
f3d_1,314,423,444,314
f3f-2,,,,320
f3f-2_galer,,,,320
f3h-2,463,463,463,463
f4d_1,407,407,407,407
f4f-3,420,420,420,320
f4f-4,420,420,420,320
f4f-4_martlet_mk4,420,420,420,320
f4u-1a,253,330,388,730
f4u-1a_japan,253,330,388,730
f4u-1a_usmc,253,330,388,730
f4u-1c,253,330,388,730
f4u-1d,253,330,388,730
f4u-4,253,299,388,730
f4u-4b,253,299,388,730
f4u-4b_vmf_214,253,299,388,730
f4u-6_au-1,253,299,388,730
f4u-7,253,299,388,730
f6f-3,310,459,488,375
f6f-5_france,310,459,488,375
f6f-5n,310,459,488,375
f6f-5n_france,310,459,488,375
f7f1,278,427,456,463
f7f3,278,427,456,463
f8f1,427,586,616,340
f8f1b,427,586,616,340
f8f1b_france,427,586,616,340
f8u-2,428,428,428,428
f9f-2,310,531,574,400
f9f-5,380,549,582,410
f9f-8,410,410,410,410
f_100f_china,435,590,620,447
f_101c,555,555,555,463
f_106a_1972,,,,426
f_111a,555,588,800,611
f_111c_raaf,555,588,800,611
f_111f,555,588,800,611
f_117,,,,555
f_14a_early,518,518,518,518
f_14a_iriaf,518,518,518,518
f_14b,518,518,518,518
f_14d,518,518,518,518
f_15a,700,700,700,700
f_15a_iaf,700,700,700,700
f_15c_baz_msip,700,700,700,700
f_15c_golden_eagle,700,700,700,700
f_15c_msip2,700,700,700,700
f_15e,700,700,700,700
f_15i_raam,700,700,700,700
f_15j,700,700,700,700
f_15j_kai,700,700,700,700
f_16a_block_10,482,482,482,482
f_16a_block_10_iaf,482,482,482,482
f_16a_block_10_netz_mod,482,482,482,482
f_16a_block_10_norway,482,482,482,482
f_16a_block_15_adf,482,482,482,482
f_16a_block_15_adf_italy,482,482,482,482
f_16a_block_15_belgium,482,482,482,482
f_16a_block_15_ocu_belgium,482,482,482,482
f_16a_block_15_ocu_thailand,482,482,482,482
f_16a_block_20_mlu,482,482,482,482
f_16a_block_5_netherlands,482,482,482,482
f_16a_block_72v_china,482,482,482,482
f_16aj,482,482,482,482
f_16am_block_15_mlu_belgium,482,482,482,482
f_16am_block_20_mlu_netherlands,482,482,482,482
f_16am_block_20_mlu_norway,482,482,482,482
f_16c_block_40_barak_2,482,482,482,482
f_16c_block_50,482,482,482,482
f_16c_block_52_aesa,482,482,482,482
f_16d_block_40_barak_2,482,482,482,482
f_16i_sufa,482,482,482,482
f_20a,482,482,482,482
f_222_2,,,,450
f_2a,482,482,482,482
f_2a_adtw,482,482,482,482
f_47n_25_re_china,300,464,496,450
f_6c_pakistan,577,577,577,577
fa_18a,700,700,700,700
fa_18a_hug_2_raaf,700,700,700,700
fa_18a_raaf,700,700,700,700
fa_18c_early,700,700,700,700
fa_18c_finland,700,700,700,700
fa_18c_late,700,700,700,700
fa_18c_late_switzerland,700,700,700,700
fa_18c_mlu_2_finland,700,700,700,700
fa_18c_switzerland,700,700,700,700
fa_18d_late_malaysia,700,700,700,700
fa_18e_block_2,700,700,700,700
fa_18f_block_2_raaf,700,700,700,700
fc_20_bis,280,280,280,280
ffa_p16,400,512,533,450
ffvs_j22_a,225,445,488,270
ffvs_j22_b,225,445,488,270
fiat_cr42,,,,
fiat_cr42_italy,,,,
fiat_cr42_j11,,,,
fiat_cr42_marcolin,,,,
fiat_cr42_marcolin_italy,,,,
fiat_g50_seria2,260,451,535,300
fiat_g50_seria2_italy,260,451,535,300
fiat_g50_seria7as,260,451,535,300
fiat_g50_seria7as_italy,260,451,535,300
fiat_g91_ps,345,550,590,345
fiat_g91_r1,345,550,590,345
fiat_g91_r3,345,550,590,345
fiat_g91_r4,345,550,590,345
fiat_g91_r4_german,345,550,590,345
fiat_g91_y,371,557,593,371
fiat_g91_ys,371,557,593,371
firebrand_tf4,250,413,420,300
firefly_mk1,242,326,600,270
firefly_mk4_netherlands,250,327,600,280
firefly_mk5,250,327,600,280
fj_4b,435,573,600,435
fj_4b_agm_12b,435,573,600,435
fokker_d21_mod20,240,240,240,
fokker_d21_netherlands,240,240,240,
fokker_d21_serie3_finland,240,240,240,
fokker_d23,280,387,423,285
fokker_g1a,230,319,337,280
fr_1_fireball,427,586,616,340
fury_mk1,,,,
fury_mk2,,,,
fw-189a-1,185,233,243,190
fw-190a-1,310,310,310,310
fw-190a-4,310,310,310,310
fw-190a-5,310,310,310,310
fw-190a-5_cannons,310,310,310,310
fw-190a-5_japan,310,310,310,310
fw-190a-5_u2,310,310,310,310
fw-190a-8,310,310,310,310
fw-190a-8_france,310,310,310,310
fw-190a-8_usa,310,310,310,310
fw-190c,310,310,310,310
fw-190d-12,310,310,310,310
fw-190d-13,310,310,310,310
fw-190d-9,310,310,310,310
fw-190d-9_ussr,310,310,310,310
fw-190f-8,310,310,310,310
fw_189c_0,185,233,243,190
fw_190a_5_u14,310,310,310,310
fw_190f_8_hungary,310,310,310,310
fw_200c_1,200,200,200,200
g4m1,250,399,428,300
g5n1,230,342,363,280
g8n1,270,322,332,330
g_55_serie1,260,409,438,260
g_55_serie1_ss0,260,409,438,260
g_55s,260,409,438,260
g_56,260,409,438,360
gladiator_j8a,320,469,,
gladiator_j8a_iacobi,320,469,,
gladiator_mk1_belgium,320,469,,
gladiator_mk1_china,320,469,,
gladiator_mk2,320,469,,
gladiator_mk2_france,320,469,,
gladiator_mk2_navy,320,469,,
gladiator_mk2_silver,320,469,,
gladiator_mk2_tuck,320,469,,
go229_v3,380,529,558,450
h-75a-1_france,232,447,488,290
h-75a-2_finland,232,447,488,290
h-75a-4_france,232,447,488,290
h-75m_china,232,447,488,
h6k4,320,469,498,
h8k2,260,379,402,
h8k3,260,379,402,450
halifax_mk3,260,454,491,260
harrier_frs1,648,648,648,648
harrier_frs1_early,648,648,648,648
harrier_gr1,648,648,648,648
harrier_gr3,648,648,648,648
harrier_gr7,648,648,648,648
harrier_t10,648,648,648,648
hawk_200,410,563,592,437
hawk_200_rda,410,563,592,437
hawk_209_indonesia,410,563,592,437
hawk_iii,,,,280
he-111h-16_winter,260,327,340,300
he-111h-2,260,379,402,350
he-111h-6,260,379,402,350
he-162a-1,500,649,678,350
he-162a-2,500,649,678,350
he-177a-3,280,407,431,260
he-177a-5,280,407,431,260
he51a1,320,469,498,
he51b1,320,469,498,
he51b_2w,320,469,498,
he51c1,320,469,498,
he51c1_late,320,469,498,
he_100d_1,280,471,488,320
he_112a_0,270,382,403,300
he_112b_0,320,469,498,300
he_112b_1,320,469,498,300
he_112b_1_italy,320,469,498,300
he_112b_2,320,469,498,300
he_112v_5,270,382,403,300
he_115a_2_sweden,260,379,402,
he_115c_1,260,379,402,
he_219a_7,310,310,310,310
hellcat_fmk1,310,459,488,375
hornet_mk1,287,356,370,324
hornet_mk3,287,356,370,324
hp52_hampden_mk1_late,210,359,388,225
hp52_hampden_tbmk1,210,359,388,225
hp52_hampden_tbmk1_ussr_utk1,210,359,388,225
hp_12,,,,
hs-123a-1,190,274,300,
hs-123a-1_china,190,274,300,
hs-129b-2,295,295,295,295
hs-129b-2_romania,295,295,295,295
hs-129b-2_romania_italy,295,295,295,295
hs-129b-3,295,295,295,295
hudson_mk_v,235,313,328,235
hunter_f1,465,601,628,450
hunter_f50_sweden,465,601,628,450
hunter_f58_switzerland,465,601,628,450
hunter_f58a_1971_switzerland,465,601,628,450
hunter_f6,465,601,628,450
hunter_f6_holland,465,601,628,450
hunter_f9_rhodesia,465,601,628,450
hurricane_mk1,202,247,268,320
hurricane_mk1_late_ep,202,247,268,320
hurricane_mk1_late_finland,202,247,268,320
hurricane_mk1b,202,247,268,320
hurricane_mk1c,202,247,268,320
hurricane_mk4,202,247,268,320
hurricanemkii,202,247,268,320
hurricanemkii_ussr,202,247,268,320
i-153_m62,,,,450
i-153_m62_china,,,,450
i-153_m62_zhukovskiy,,,,450
i-153p,,,,450
i-15_1934,320,320,320,
i-15_1935,320,320,320,
i-15_1935_moscow,320,320,320,
i-15bis,,,,
i-15bis_china,,,,
i-15bis_krasnolutsky,,,,
i-16_chung_28,700,700,700,260
i-16_type10,260,260,260,260
i-16_type10_china,260,260,260,260
i-16_type17_china,260,260,260,260
i-16_type18,260,260,260,260
i-16_type24,260,363,395,260
i-16_type27,260,260,260,260
i-16_type28,260,363,395,260
i-16_type5,700,700,700,260
i-16_type5_1935_china,700,700,700,260
i_180,260,260,260,260
i_185_m71_standard,280,354,380,320
i_185_m82,280,354,380,320
i_225,320,320,320,320
i_29,280,280,280,320
ia_58a_pucara,260,422,454,463
iar_81c,750,789,795,280
iar_81c_db_605,750,789,795,280
iar_93b,475,475,475,475
il-10,450,450,450,450
il-10_1946,450,450,450,450
il-10_1946_china,450,450,450,450
il-10_1946_hungary,450,450,450,450
il-2i,270,270,270,320
il-2m,270,419,448,320
il-2m_mstitel,270,419,448,320
il-4,280,280,280,320
il_28,400,549,578,400
il_28_china,400,549,578,400
il_28_german,400,549,578,400
il_28_hungary,400,549,578,400
il_28sh,400,549,578,400
il_2_1941,270,270,270,320
il_2_1942_luftwaffe,270,270,270,320
il_2_37_1943,320,320,320,320
il_2_m82,270,270,270,320
il_2m_1943,320,320,320,320
il_8_1944,320,320,320,320
intruder_mk_1,296,407,428,296
itp_m1,260,346,365,320
j1n1_mod11_early,290,409,432,350
j2m2,280,455,489,350
j2m3,280,455,489,350
j2m4_kai,280,455,489,350
j2m5,280,455,489,350
j2m5_30mm,280,455,489,350
j5n1,280,407,431,320
j6b,,,,
j6k1,280,382,460,320
j7w1,320,469,498,450
j8m1,550,550,550,550
j9_early,232,447,488,290
j_10a,,,,620
j_10c,,,,620
j_11,700,700,700,700
j_11a,700,700,700,700
j_11b,700,700,700,700
j_15t,700,700,700,700
j_22m1a,475,475,475,475
j_7_mk2,500,500,500,500
j_7d,700,700,700,700
j_7e,500,500,500,500
j_8b,500,500,500,500
j_8f,500,500,500,500
jaguar_a,481,481,481,481
jaguar_e,481,481,481,481
jaguar_gr1,481,481,481,481
jaguar_gr1a,481,481,481,481
jaguar_is,481,481,481,481
javelin_fmk9,370,512,540,407
jf_17,500,500,500,500
jh_7,450,673,717,450
jh_7a,450,673,717,450
jh_7a2,450,673,717,450
jh_7a_prototype,450,673,717,450
ju-188a-2,310,310,310,310
ju-288c,280,429,458,310
ju-388j,280,429,458,310
ju-87b-2,320,469,,
ju-87d-3,320,454,,
ju-87d-3_italy,320,454,,
ju-87d-5,320,454,,
ju-87g_1,320,454,,
ju-87g_2,320,454,,
ju-87r-2,320,469,,
ju-87r-2_italy,320,469,,
ju-87r-2_snake,320,469,,
ju-88a-1,280,429,458,310
ju-88a-4,280,429,458,310
ju-88a-4_finland,280,429,458,310
ju-88c-6,280,429,458,310
kfir_c10_colombia,,,,500
kfir_c2,,,,500
kfir_c7,,,,500
kfir_canard,,,,500
ki-27_otsu,220,220,220,
ki-27_otsu_china,220,220,220,
ki-27_otsu_ep,220,220,220,
ki-45_hei,308,445,450,350
ki-45_hei_tei_china,308,445,450,350
ki-45_ko,308,445,450,350
ki-45_otsu,308,445,450,350
ki-45_tei,308,445,450,350
ki-49_1,240,364,413,260
ki-49_2a,250,399,428,300
ki-49_2b,250,399,428,300
ki-49_2b_late,250,399,428,300
ki-83,420,480,525,310
ki-96,260,409,438,310
ki_100_2,230,282,292,250
ki_100_early,230,282,292,250
ki_102_otsu,260,409,438,310
ki_108,260,409,438,310
ki_109,250,399,428,300
ki_10_1,,,,
ki_10_1_commander,,,,
ki_10_2,,,,
ki_10_2_commander,,,,
ki_21_1hei,250,399,428,380
ki_21_1ko,250,399,428,380
ki_32,280,518,564,
ki_43_1,250,373,417,300
ki_43_2,250,362,383,300
ki_43_2_late,250,362,383,300
ki_43_3_ko,300,449,478,330
ki_43_3_otsu,250,371,388,330
ki_44_1,250,412,433,250
ki_44_1_ep,250,412,433,250
ki_44_2_hei,250,412,433,250
ki_44_2_hei_china,250,412,433,250
ki_44_2_otsu,250,412,433,250
ki_48_2_otsu,250,399,428,300
ki_61_1a_hei,230,282,292,250
ki_61_1a_hei_ep,230,282,292,250
ki_61_1a_ko,230,282,292,250
ki_61_1a_otsu,230,282,292,250
ki_61_1a_otsu_china,230,282,292,250
ki_61_1a_otsu_usa,230,282,292,250
ki_61_1a_tei,230,282,292,250
ki_61_2_early,230,282,292,330
ki_67_1_ko,250,399,428,300
ki_67_1_otsu,250,399,428,300
ki_84_hei,280,431,470,270
ki_84_ko,280,431,470,270
ki_84_ko_china,280,431,470,270
ki_84_otsu,280,431,470,270
ki_87,280,429,458,320
ki_94_2,280,471,580,280
kitsuka,380,529,558,380
l_39za,330,330,330,330
l_39za_art_thailand,330,330,330,330
la-11,290,434,460,320
la-11_china,290,434,460,320
la-15,450,450,450,450
la-5_type37_early,280,407,431,340
la-5_type39,270,419,448,310
la-5fn,270,419,448,310
la-5fn_luftwaffe,270,419,448,310
la-7,300,471,504,320
la-7_dolgushin,300,471,504,320
la-7b-20,300,471,504,320
la-9,290,451,490,320
la-9_china,290,451,490,320
la_174,450,450,450,450
la_200_toriy,450,599,628,450
lagg-3-11,280,414,440,350
lagg-3-23,280,414,440,350
lagg-3-34,280,414,440,450
lagg-3-35,280,414,440,450
lagg-3-4,280,414,440,350
lagg-3-66,280,414,440,450
lagg-3-8,280,414,440,350
lagg-i-301,280,414,440,350
lancaster_mk1,282,381,415,338
lancaster_mk3,282,381,415,338
lancaster_mr7_france,282,381,415,338
late_298d,320,469,498,
leo_451_early,270,367,386,340
leo_451_late,270,367,386,340
lightning_f53,463,463,463,463
lightning_f6,463,463,463,463
lincoln_b2,296,388,406,341
m_346fa,370,370,370,370
martin_139wc,235,313,328,235
marut_mk1,465,601,628,450
maryland_mk1_france,210,307,326,278
mb_151c1,270,270,270,310
mb_152c1,270,270,270,310
mb_157,270,419,448,340
mb_162,260,317,330,280
mb_174_a3,260,317,330,280
mb_175t,260,317,330,280
mb_326b,331,331,331,331
mb_326k,331,331,331,331
mb_5,273,273,273,330
mbr-2,320,469,498,
mc-202,260,451,535,300
mc-202_d,260,451,535,300
mc-202_ec,260,451,535,300
mc-202_italy,260,451,535,300
mc-205_n2,260,451,535,300
mc-205_serie1,260,451,535,300
mc-205_serie3,260,451,535,300
mc200_serie3,260,451,535,300
mc200_serie3_italy,260,451,535,300
mc200_serie7,260,451,535,300
mc200_serie7_italy,260,451,535,300
md_450b_barougan,450,599,628,450
md_450b_ouragan,450,599,628,450
md_450b_ouragan_iaf,450,599,628,450
md_450b_ouragan_iaf_29,450,599,628,450
md_452_mystere_2a,450,599,628,450
md_452_mystere_2c_preproduction,450,599,628,450
md_454_mystere_4a,447,447,447,447
md_454_mystere_4a_iaf,447,447,447,447
md_460,435,590,620,447
md_460_saar,435,590,620,447
md_460_sambad,435,590,620,447
md_460_yt_cup_2019,435,590,620,447
me-163b,420,569,598,550
me-163b-0,420,569,598,550
me-262a-1a,380,529,558,450
me-262a-1a_early,380,529,558,450
me-262a-1a_u4,380,529,558,450
me-262a-2a,380,529,558,450
me-262a1_u1,380,529,558,450
me-262c-1a,320,469,498,450
me-262c-2b,320,469,498,450
me-410a-1,350,350,350,350
me-410a-1_u2,350,350,350,350
me-410a-1_u4,350,350,350,350
me-410b-1,350,350,350,350
me-410b-1_u2,350,350,350,350
me-410b-2_u4,350,350,350,350
me-410b-6_r3,350,350,350,350
me_210_v22_japan,350,350,350,350
me_210a_1,350,350,350,350
me_210ca_1_40_mm_hungary,350,350,350,350
me_210ca_1_hungary,350,350,350,350
me_264,290,357,370,309
meteor_fmk3,290,462,495,390
meteor_fmk3_navy,290,462,495,390
meteor_fmk4_lw,290,462,495,390
meteor_fmk4_sw,290,462,495,390
meteor_fmk8,290,462,495,390
meteor_fmk8_belgium,290,462,495,390
meteor_fmk8_iaf,290,462,495,390
meteor_fmk8_reaper,290,462,495,390
meteor_frmk9_iaf,290,462,495,390
meteor_nfmk13,290,462,495,390
mig-15,450,450,450,450
mig-15_ns23,450,450,450,450
mig-15bis_ish,450,450,450,450
mig-15bis_nr23_china,450,450,450,450
mig-15bis_nr23_german,450,450,450,450
mig-15bis_nr23_hungary,450,450,450,450
mig-17,450,450,450,450
mig-17_china,450,450,450,450
mig-17_cuba,450,450,450,450
mig-17_f5,450,450,450,450
mig-17p_lim_5p,450,450,450,450
mig-17pf_hungary,450,450,450,450
mig-19j_6a,577,577,577,577
mig-19pt,577,577,577,577
mig-19s,577,577,577,577
mig-21_bis,700,700,700,700
mig-21_bis_lazur,700,700,700,700
mig-21_bis_sau,700,700,700,700
mig-21_bis_sau_hungary,700,700,700,700
mig-21_bison,700,700,700,700
mig-21_f13,700,700,700,700
mig-21_mf,700,700,700,700
mig-21_mf_hungary,700,700,700,700
mig-21_pfm,700,700,700,700
mig-21_s,700,700,700,700
mig-21_smt,700,700,700,700
mig-21_sps_k,700,700,700,700
mig-9,380,380,380,380
mig-9_china,380,380,380,380
mig-9_late_china,380,380,380,380
mig-9_ussr,380,380,380,380
mig_21_2000_iaf,700,700,700,700
mig_21_bis_finland,700,700,700,700
mig_23bn,630,630,630,630
mig_23m,630,630,630,630
mig_23mf_germany,630,630,630,630
mig_23mf_hungary,630,630,630,630
mig_23ml,630,630,630,630
mig_23mla,630,630,630,630
mig_23mld,630,630,630,630
mig_25pd,700,700,700,700
mig_27k,630,630,630,630
mig_27m,630,630,630,630
mig_29_9_12,700,700,700,700
mig_29_9_12_germany,700,700,700,700
mig_29_9_12_sniper,700,700,700,700
mig_29_9_12b_hungary,700,700,700,700
mig_29_9_12g,700,700,700,700
mig_29_9_13,700,700,700,700
mig_29kr_9_41r,700,700,700,700
mig_29m_9_15,700,700,700,700
mig_29n,700,700,700,700
mig_29smt_9_19,700,700,700,700
mig_3_series_1_15,280,429,458,320
mig_3_series_1_15_bk_pod,280,429,458,320
mig_3_series_34,280,429,458,320
mirage_2000_5ei,,,,426
mirage_2000_5f,,,,426
mirage_2000c_s4,,,,426
mirage_2000c_s5,,,,426
mirage_2000d_r1,,,,426
mirage_2000d_rmv,,,,426
mirage_3c,,,,426
mirage_3cj,,,,426
mirage_3e,,,,426
mirage_3s_c70_switzerland,,,,426
mirage_4000,,,,426
mirage_5ba,,,,426
mirage_5f,,,,426
mirage_f1c,416,775,814,444
mirage_f1c_200,416,775,814,444
mirage_f1ct,416,775,814,444
mirage_milan,426,426,426,426
morko_morane,270,374,394,320
mosquito_b_mk16,312,356,390,315
