telemetry_id,vne_kmh
f-104s_asa,1555.0
f-104s_cb,1555.0
f-105d,1575.0
f-4c,1458.0
f-4e,1458.0
f-4e_iaf,1458.0
f-4e_kurnass_2000,1458.0
f-4ej,1458.0
f-4ej_adtw,1458.0
f-4ej_kai,1458.0
f-4f,1458.0
f-4f_kws_lv,1458.0
f-4f_late,1458.0
f-4j,1458.0
f-4jk,1458.0
f-4k,1458.0
f-4m_fgr2,1458.0
f-4s,1458.0
f-5a,1458.0
f-5a_china,1458.0
f-5a_thailand,1458.0
f-5ag_norway,1458.0
f-5c,1458.0
f-5e,1458.0
f-5e_aidc,1458.0
f-5e_fcu_thailand,1458.0
f-5e_switzerland,1458.0
f-5t_thailand,1458.0
f-5th_thailand,1458.0
f-80,990.0
f-80a,990.0
f-82e,854.0
f-84b,1045.0
f-84f,1187.0
f-84f_france,1187.0
f-84f_germany,1187.0
f-84f_iaf,1187.0
f-84f_israel_iaf,1187.0
f-84f_italy,1187.0
f-84g,1045.0
f-84g-31-re_china,1045.0
f-84g_china,1045.0
f-84g_france,1045.0
f-84g_italy,1045.0
f-84g_thailand,1045.0
f-86_canadair_german,1170.0
f-86_cl_13_mk4_italy,1118.0
f-86_cl_13b_mk6,1170.0
f-86a-5,1118.0
f-86f-2,1170.0
f-86f-25,1170.0
f-86f-30_china,1170.0
f-86f-30_japan,1170.0
f-86f-35,1170.0
f-86f-40_china,1170.0
f-86f-40_japan,1170.0
f-86f-40_japan_blue_impulse,1170.0
f-86k_late,1187.0
f-86k_late_german,1187.0
f-86k_late_italy,1187.0
f-89b,920.0
f-89d,920.0
f-8e,1555.0
f-8e_fn,1555.0
f1,1365.0
f11f_1_late,1458.0
f1m2,550.0
f2a-1,761.0
f2a-1_thach,761.0
f2a-3,761.0
f2g-1,885.0
f2h-2,994.0
f3d_1,932.0
f3f-2,810.0
f3f-2_galer,810.0
f3h-2,1360.0
f4d_1,1283.0
f4f-3,826.0
f4f-4,826.0
f4f-4_martlet_mk4,826.0
f4u-1a,885.0
f4u-1a_japan,885.0
f4u-1a_usmc,885.0
f4u-1c,885.0
f4u-1d,885.0
f4u-4,885.0
f4u-4b,885.0
f4u-4b_vmf_214,885.0
f4u-6_au-1,885.0
f4u-7,885.0
f6f-3,803.0
f6f-5_france,803.0
f6f-5n,803.0
f6f-5n_france,803.0
f7f1,835.0
f7f3,835.0
f8f1,827.0
f8f1b,827.0
f8f1b_france,827.0
f8u-2,1555.0
f9f-2,1000.0
f9f-5,1000.0
f9f-8,1127.0
f_100f_china,1361.0
f_101c,1540.0
f_106a_1972,1460.0
f_111a,808.0
f_111c_raaf,808.0
f_111f,808.0
f_117,1021.0
f_14a_early,1021.0
f_14a_iriaf,1021.0
f_14b,1021.0
f_14d,1021.0
f_15a,1629.0
f_15a_iaf,1629.0
f_15c_baz_msip,1629.0
f_15c_golden_eagle,1629.0
f_15c_msip2,1629.0
f_15e,1629.0
f_15i_raam,1629.0
f_15j,1629.0
f_15j_kai,1629.0
f_16a_block_10,1555.0
f_16a_block_10_iaf,1555.0
f_16a_block_10_netz_mod,1555.0
f_16a_block_10_norway,1555.0
f_16a_block_15_adf,1555.0
f_16a_block_15_adf_italy,1555.0
f_16a_block_15_belgium,1555.0
f_16a_block_15_ocu_belgium,1555.0
f_16a_block_15_ocu_thailand,1555.0
f_16a_block_20_mlu,1555.0
f_16a_block_5_netherlands,1555.0
f_16a_block_72v_china,1555.0
f_16aj,1555.0
f_16am_block_15_mlu_belgium,1555.0
f_16am_block_20_mlu_netherlands,1555.0
f_16am_block_20_mlu_norway,1555.0
f_16c_block_40_barak_2,1555.0
f_16c_block_50,1555.0
f_16c_block_52_aesa,1555.0
f_16d_block_40_barak_2,1555.0
f_16i_sufa,1555.0
f_20a,1527.0
f_222_2,450.0
f_2a,1555.0
f_2a_adtw,1555.0
f_47n_25_re_china,950.0
f_6c_pakistan,1260.0
fa_18a,1477.0
fa_18a_hug_2_raaf,1477.0
fa_18a_raaf,1477.0
fa_18c_early,1477.0
fa_18c_finland,1477.0
fa_18c_late,1477.0
fa_18c_late_switzerland,1477.0
fa_18c_mlu_2_finland,1477.0
fa_18c_switzerland,1477.0
fa_18d_late_malaysia,1477.0
fa_18e_block_2,1497.0
fa_18f_block_2_raaf,1497.0
fc_20_bis,720.0
ffa_p16,1212.0
ffvs_j22_a,670.0
ffvs_j22_b,670.0
fiat_cr42,578.0
fiat_cr42_italy,578.0
fiat_cr42_j11,578.0
fiat_cr42_marcolin,578.0
fiat_cr42_marcolin_italy,578.0
fiat_g50_seria2,870.0
fiat_g50_seria2_italy,870.0
fiat_g50_seria7as,870.0
fiat_g50_seria7as_italy,870.0
fiat_g91_ps,1011.0
fiat_g91_r1,1128.0
fiat_g91_r3,1128.0
fiat_g91_r4,1128.0
fiat_g91_r4_german,1128.0
fiat_g91_y,1128.0
fiat_g91_ys,1128.0
firebrand_tf4,750.0
firefly_mk1,720.0
firefly_mk4_netherlands,720.0
firefly_mk5,720.0
fj_4b,1166.0
fj_4b_agm_12b,1166.0
fokker_d21_mod20,735.0
fokker_d21_netherlands,735.0
fokker_d21_serie3_finland,735.0
fokker_d23,645.0
fokker_g1a,610.0
fr_1_fireball,778.0
fury_mk1,600.0
fury_mk2,600.0
fw-189a-1,525.0
fw-190a-1,912.0
fw-190a-4,912.0
fw-190a-5,912.0
fw-190a-5_cannons,912.0
fw-190a-5_japan,912.0
fw-190a-5_u2,912.0
fw-190a-8,912.0
fw-190a-8_france,912.0
fw-190a-8_usa,912.0
fw-190c,912.0
fw-190d-12,912.0
fw-190d-13,912.0
fw-190d-9,912.0
fw-190d-9_ussr,912.0
fw-190f-8,912.0
fw_189c_0,525.0
fw_190a_5_u14,912.0
fw_190f_8_hungary,912.0
fw_200c_1,450.0
g4m1,540.0
g5n1,520.0
g8n1,680.0
g_55_serie1,840.0
g_55_serie1_ss0,840.0
g_55s,840.0
g_56,840.0
gladiator_j8a,600.0
gladiator_j8a_iacobi,600.0
gladiator_mk1_belgium,560.0
gladiator_mk1_china,560.0
gladiator_mk2,560.0
gladiator_mk2_france,560.0
gladiator_mk2_navy,560.0
gladiator_mk2_silver,560.0
gladiator_mk2_tuck,560.0
go229_v3,980.0
h-75a-1_france,681.0
h-75a-2_finland,770.0
h-75a-4_france,770.0
h-75m_china,710.0
h6k4,437.0
h8k2,560.0
h8k3,560.0
halifax_mk3,541.0
harrier_frs1,1463.0
harrier_frs1_early,1463.0
harrier_gr1,1463.0
harrier_gr3,1463.0
harrier_gr7,1137.0
harrier_t10,1137.0
hawk_200,1115.0
hawk_200_rda,1115.0
hawk_209_indonesia,1115.0
hawk_iii,600.0
he-111h-16_winter,480.0
he-111h-2,480.0
he-111h-6,480.0
he-162a-1,1040.0
he-162a-2,1040.0
he-177a-3,683.0
he-177a-5,683.0
he51a1,500.0
he51b1,550.0
he51b_2w,500.0
he51c1,550.0
he51c1_late,550.0
he_100d_1,820.0
he_112a_0,680.0
he_112b_0,730.0
he_112b_1,730.0
he_112b_1_italy,730.0
he_112b_2,730.0
he_112v_5,680.0
he_115a_2_sweden,480.0
he_115c_1,480.0
he_219a_7,787.0
hellcat_fmk1,803.0
hornet_mk1,826.0
hornet_mk3,826.0
hp52_hampden_mk1_late,506.0
hp52_hampden_tbmk1,506.0
hp52_hampden_tbmk1_ussr_utk1,506.0
hp_12,640.0
hs-123a-1,577.0
hs-123a-1_china,577.0
hs-129b-2,630.0
hs-129b-2_romania,630.0
hs-129b-2_romania_italy,630.0
hs-129b-3,630.0
hudson_mk_v,564.0
hunter_f1,1193.0
hunter_f50_sweden,1193.0
hunter_f58_switzerland,1225.0
hunter_f58a_1971_switzerland,1225.0
hunter_f6,1193.0
hunter_f6_holland,1193.0
hunter_f9_rhodesia,1225.0
hurricane_mk1,660.0
hurricane_mk1_late_ep,660.0
hurricane_mk1_late_finland,660.0
hurricane_mk1b,660.0
hurricane_mk1c,660.0
hurricane_mk4,660.0
hurricanemkii,660.0
hurricanemkii_ussr,660.0
i-153_m62,580.0
i-153_m62_china,580.0
i-153_m62_zhukovskiy,580.0
i-153p,580.0
i-15_1934,560.0
i-15_1935,560.0
i-15_1935_moscow,560.0
i-15bis,580.0
i-15bis_china,580.0
i-15bis_krasnolutsky,580.0
i-16_chung_28,660.0
i-16_type10,700.0
i-16_type10_china,700.0
i-16_type17_china,700.0
i-16_type18,700.0
i-16_type24,700.0
i-16_type27,700.0
i-16_type28,700.0
i-16_type5,700.0
i-16_type5_1935_china,700.0
i_180,670.0
i_185_m71_standard,800.0
i_185_m82,800.0
i_225,820.0
i_29,680.0
ia_58a_pucara,788.0
iar_81c,680.0
iar_81c_db_605,680.0
iar_93b,1186.0
il-10,720.0
il-10_1946,720.0
il-10_1946_china,720.0
il-10_1946_hungary,720.0
il-2i,620.0
il-2m,620.0
il-2m_mstitel,620.0
il-4,600.0
il_28,850.0
il_28_china,850.0
il_28_german,850.0
il_28_hungary,850.0
il_28sh,850.0
il_2_1941,620.0
il_2_1942_luftwaffe,620.0
il_2_37_1943,620.0
il_2_m82,620.0
il_2m_1943,620.0
il_8_1944,620.0
intruder_mk_1,665.0
itp_m1,800.0
j1n1_mod11_early,713.0
j2m2,820.0
j2m3,820.0
j2m4_kai,820.0
j2m5,820.0
j2m5_30mm,820.0
j5n1,810.0
j6b,560.0
j6k1,780.0
j7w1,900.0
j8m1,1040.0
j9_early,770.0
j_10a,1543.0
j_10c,1543.0
j_11,1540.0
j_11a,1540.0
j_11b,1540.0
j_15t,1540.0
j_22m1a,1186.0
j_7_mk2,1365.0
j_7d,1365.0
j_7e,1365.0
j_8b,1365.0
j_8f,1365.0
jaguar_a,1273.0
jaguar_e,1273.0
jaguar_gr1,1273.0
jaguar_gr1a,1273.0
jaguar_is,1273.0
javelin_fmk9,1041.0
jf_17,1430.0
jh_7,1331.0
jh_7a,1331.0
jh_7a2,1331.0
jh_7a_prototype,1331.0
ju-188a-2,675.0
ju-288c,675.0
ju-388j,675.0
ju-87b-2,680.0
ju-87d-3,730.0
ju-87d-3_italy,730.0
ju-87d-5,730.0
ju-87g_1,730.0
ju-87g_2,730.0
ju-87r-2,680.0
ju-87r-2_italy,680.0
ju-87r-2_snake,680.0
ju-88a-1,675.0
ju-88a-4,675.0
ju-88a-4_finland,675.0
ju-88c-6,675.0
kfir_c10_colombia,1460.0
kfir_c2,1460.0
kfir_c7,1460.0
kfir_canard,1460.0
ki-27_otsu,554.0
ki-27_otsu_china,554.0
ki-27_otsu_ep,554.0
ki-45_hei,713.0
ki-45_hei_tei_china,713.0
ki-45_ko,713.0
ki-45_otsu,713.0
ki-45_tei,713.0
ki-49_1,580.0
ki-49_2a,580.0
ki-49_2b,580.0
ki-49_2b_late,580.0
ki-83,870.0
ki-96,762.0
ki_100_2,850.0
ki_100_early,850.0
ki_102_otsu,762.0
ki_108,762.0
ki_109,650.0
ki_10_1,600.0
ki_10_1_commander,600.0
ki_10_2,600.0
ki_10_2_commander,600.0
ki_21_1hei,540.0
ki_21_1ko,540.0
ki_32,600.0
ki_43_1,630.0
ki_43_2,661.0
ki_43_2_late,661.0
ki_43_3_ko,661.0
ki_43_3_otsu,661.0
ki_44_1,850.0
ki_44_1_ep,850.0
ki_44_2_hei,850.0
ki_44_2_hei_china,850.0
ki_44_2_otsu,850.0
ki_48_2_otsu,650.0
ki_61_1a_hei,850.0
ki_61_1a_hei_ep,850.0
ki_61_1a_ko,850.0
ki_61_1a_otsu,850.0
ki_61_1a_otsu_china,850.0
ki_61_1a_otsu_usa,850.0
ki_61_1a_tei,850.0
ki_61_2_early,850.0
ki_67_1_ko,650.0
ki_67_1_otsu,650.0
ki_84_hei,837.0
ki_84_ko,837.0
ki_84_ko_china,837.0
ki_84_otsu,837.0
ki_87,880.0
ki_94_2,850.0
kitsuka,980.0
l_39za,955.0
l_39za_art_thailand,955.0
la-11,850.0
la-11_china,850.0
la-15,945.0
la-5_type37_early,735.0
la-5_type39,735.0
la-5fn,735.0
la-5fn_luftwaffe,735.0
la-7,735.0
la-7_dolgushin,735.0
la-7b-20,735.0
la-9,850.0
la-9_china,850.0
la_174,945.0
la_200_toriy,1123.0
lagg-3-11,700.0
lagg-3-23,700.0
lagg-3-34,700.0
lagg-3-35,700.0
lagg-3-4,700.0
lagg-3-66,700.0
lagg-3-8,700.0
lagg-i-301,700.0
lancaster_mk1,608.0
lancaster_mk3,608.0
lancaster_mr7_france,608.0
late_298d,450.0
leo_451_early,550.0
leo_451_late,550.0
lightning_f53,1361.0
lightning_f6,1361.0
lincoln_b2,613.0
m_346fa,1120.0
martin_139wc,564.0
marut_mk1,1296.0
maryland_mk1_france,574.0
mb_151c1,830.0
mb_152c1,830.0
mb_157,810.0
mb_162,560.0
mb_174_a3,680.0
mb_175t,680.0
mb_326b,865.0
mb_326k,952.0
mb_5,890.0
mbr-2,405.0
mc-202,845.0
mc-202_d,845.0
mc-202_ec,820.0
mc-202_italy,845.0
mc-205_n2,845.0
mc-205_serie1,845.0
mc-205_serie3,845.0
mc200_serie3,845.0
mc200_serie3_italy,845.0
mc200_serie7,845.0
mc200_serie7_italy,845.0
md_450b_barougan,1030.0
md_450b_ouragan,1030.0
md_450b_ouragan_iaf,1030.0
md_450b_ouragan_iaf_29,1030.0
md_452_mystere_2a,1108.0
md_452_mystere_2c_preproduction,1108.0
md_454_mystere_4a,1166.0
md_454_mystere_4a_iaf,1166.0
md_460,1265.0
md_460_saar,1265.0
md_460_sambad,1265.0
md_460_yt_cup_2019,1265.0
me-163b,1040.0
me-163b-0,1040.0
me-262a-1a,1050.0
me-262a-1a_early,1050.0
me-262a-1a_u4,1050.0
me-262a-2a,1050.0
me-262a1_u1,1050.0
me-262c-1a,1050.0
me-262c-2b,1050.0
me-410a-1,750.0
me-410a-1_u2,750.0
me-410a-1_u4,750.0
me-410b-1,750.0
me-410b-1_u2,750.0
me-410b-2_u4,750.0
me-410b-6_r3,750.0
me_210_v22_japan,650.0
me_210a_1,650.0
me_210ca_1_40_mm_hungary,650.0
me_210ca_1_hungary,650.0
me_264,609.0
meteor_fmk3,850.0
meteor_fmk3_navy,850.0
meteor_fmk4_lw,999.0
meteor_fmk4_sw,999.0
meteor_fmk8,999.0
meteor_fmk8_belgium,999.0
meteor_fmk8_iaf,999.0
meteor_fmk8_reaper,999.0
meteor_frmk9_iaf,999.0
meteor_nfmk13,999.0
mig-15,1132.0
mig-15_ns23,1132.0
mig-15bis_ish,1132.0
mig-15bis_nr23_china,1132.0
mig-15bis_nr23_german,1132.0
mig-15bis_nr23_hungary,1132.0
mig-17,1150.0
mig-17_china,1150.0
mig-17_cuba,1150.0
mig-17_f5,1150.0
mig-17p_lim_5p,1150.0
mig-17pf_hungary,1150.0
mig-19j_6a,1260.0
mig-19pt,1260.0
mig-19s,1260.0
mig-21_bis,1365.0
mig-21_bis_lazur,1365.0
mig-21_bis_sau,1365.0
mig-21_bis_sau_hungary,1365.0
mig-21_bison,1365.0
mig-21_f13,1312.0
mig-21_mf,1365.0
mig-21_mf_hungary,1365.0
mig-21_pfm,1365.0
mig-21_s,1365.0
mig-21_smt,1365.0
mig-21_sps_k,1365.0
mig-9,1020.0
mig-9_china,1020.0
mig-9_late_china,1020.0
mig-9_ussr,1020.0
mig_21_2000_iaf,1365.0
mig_21_bis_finland,1365.0
mig_23bn,840.0
mig_23m,892.0
mig_23mf_germany,892.0
mig_23mf_hungary,892.0
mig_23ml,892.0
mig_23mla,892.0
mig_23mld,892.0
mig_25pd,1320.0
mig_27k,840.0
mig_27m,840.0
mig_29_9_12,1575.0
mig_29_9_12_germany,1575.0
mig_29_9_12_sniper,1575.0
mig_29_9_12b_hungary,1575.0
mig_29_9_12g,1575.0
mig_29_9_13,1575.0
mig_29kr_9_41r,1470.0
mig_29m_9_15,1575.0
mig_29n,1575.0
mig_29smt_9_19,1575.0
mig_3_series_1_15,677.0
mig_3_series_1_15_bk_pod,677.0
mig_3_series_34,700.0
mirage_2000_5ei,1545.0
mirage_2000_5f,1545.0
mirage_2000c_s4,1545.0
mirage_2000c_s5,1545.0
mirage_2000d_r1,1545.0
mirage_2000d_rmv,1545.0
mirage_3c,1460.0
mirage_3cj,1460.0
mirage_3e,1460.0
mirage_3s_c70_switzerland,1460.0
mirage_4000,1555.0
mirage_5ba,1460.0
mirage_5f,1460.0
mirage_f1c,1457.0
mirage_f1c_200,1457.0
mirage_f1ct,1457.0
mirage_milan,1460.0
morko_morane,756.0
mosquito_b_mk16,720.0
mosquito_f_mk2_norway,720.0
mosquito_fb_mk18,720.0
mosquito_fb_mk26_china,720.0
mosquito_fb_mk6,720.0
mosquito_fb_mk6_ash_norway,720.0
mosquito_fb_mk6_norway,720.0
mosquito_j30_sweden,720.0
mosquito_nf_mk2,720.0
mosquito_tr_mk33,720.0
ms_405c1,756.0
ms_406c1,756.0
ms_410c1,756.0
n1k1_ja,780.0
n1k1_kyuofu,600.0
n1k2_j,780.0
n1k2_jko,780.0
nc_223_3,450.0
nesher,1460.0
nf_5a_netherlands,1458.0
nimrod_mk1,600.0
nimrod_mk2,600.0
os2u_1,405.0
os2u_3,405.0
p-26a_33,508.0
p-26a_34,508.0
p-26a_34_m2,508.0
p-26b_35,508.0
p-36a,681.0
p-36a_rasmussen,681.0
p-36c,770.0
p-36c_rb,770.0
p-36g,770.0
p-38e,790.0
p-38g,790.0
p-38g_metal,790.0
p-38j,790.0
p-38j_marge,790.0
p-38k,790.0
p-38l,790.0
p-38l_1_china_rocaf,790.0
p-39k_1,886.0
p-39n,886.0
p-39n_su,886.0
p-39q_15,886.0
p-39q_25_france,886.0
p-39q_5,886.0
p-400,886.0
p-40c,795.0
p-40c_china,795.0
p-40e,819.0
p-40e_china,819.0
p-40e_td,819.0
p-40e_ussr,819.0
p-40f-5_france_ep,819.0
p-40f_10,819.0
p-43a-1,760.0
p-43a-1_china,760.0
p-47d,885.0
p-47d-28,885.0
p-47d_16_re_germany,885.0
p-47d_22_re,885.0
p-47d_22_re_france,885.0
p-47d_23_ra_china_rocaf,885.0
p-47d_30_china,885.0
p-47d_30_italy,885.0
p-47d_luftwaffe,885.0
p-47d_ussr,885.0
p-47m-1-re,885.0
p-47m-1-re_boxted,885.0
p-47n-15,950.0
p-51_a-36,855.0
p-51_mk1a_usaaf,855.0
p-51a_tl,855.0
p-51b,855.0
p-51b_7_sweden,853.0
p-51c-10-nt,853.0
p-51c-10_france,853.0
p-51c-11-nt_china,853.0
p-51c-11-nt_japan,853.0
p-51d-10,901.0
p-51d-20-na,901.0
p-51d-20-na_iaf,901.0
p-51d-20-na_j26,901.0
p-51d-20_china,901.0
p-51d-30_usaaf_korea,910.0
p-51d-5,855.0
p-51h-5_na,887.0
p-51k,910.0
p-59a,845.0
p-61a_1,642.0
p-61c_1,726.0
p-63a-10,887.0
p-63a-10_ussr,887.0
p-63a-5,887.0
p-63a-5_ussr,887.0
p-63c-5,887.0
p-63c-5_france,887.0
p-63c-5_kingcobra_animal_version,887.0
p-63c-5_ussr,887.0
p-66,720.0
p1y1_mod11,680.0
p1y1_mod11_china,680.0
p_108a_serie2,515.0
p_108b_serie1,515.0
p_108b_serie2,515.0
pb4y-2,599.0
pb4y-2_china,599.0
pb4y-2_france,599.0
pbj_1h,591.0
pbj_1j,591.0
pbm_1,389.0
pbm_3,405.0
pbm_5a,405.0
pby-5,405.0
pby-5a,405.0
pby-5a_late_france,405.0
pby-5a_raf,405.0
pby-5a_ussr,405.0
pe-2-1,760.0
pe-2-110,760.0
pe-2-205,760.0
pe-2-31,760.0
pe-2-359,760.0
pe-2-83,760.0
pe-3,760.0
pe-3_bis,760.0
pe-3_early,760.0
pe-8_m82,535.0
po-2,190.0
po-2m,190.0
potez_630,462.0
potez_631,462.0
potez_633,462.0
pv_2d,601.0
pyorremyrsky,790.0
q_5_early,1260.0
q_5a,1260.0
q_5l,1260.0
quing_6,500.0
r2y2_kai,960.0
r2y2_v1,960.0
r2y2_v2,960.0
rafale_c_f3,1458.0
rafale_m_f3r,1458.0
re_2000_ga,740.0
re_2000_heja_1,740.0
re_2000_heja_2,740.0
re_2000_int,740.0
re_2000_j20,740.0
re_2001_cb,740.0
re_2001_cn,740.0
re_2001_serie1,740.0
re_2001_serie1_ep,740.0
re_2002_early,740.0
re_2005_serie0,800.0
re_2005_vdm,800.0
ro_44,400.0
ro_57_quadriarma,800.0
s_199,790.0
s_81_ar125,530.0
saab_105g,1050.0
saab_105oe,1050.0
saab_a21a_3,683.0
saab_a21rb,787.0
saab_a32a,1160.0
saab_a32a_red_adam,1160.0
saab_aj37,1485.0
saab_ajs37,1485.0
saab_ajs37_early,1485.0
saab_b17a,620.0
saab_b17b,620.0
saab_b17bs,500.0
saab_b18a,735.0
saab_b18b,735.0
saab_b3c,430.0
saab_f35_wdns,1417.0
saab_j21a_1,683.0
saab_j21a_2,683.0
saab_j21ra,787.0
saab_j29a,1102.0
saab_j29b,1102.0
saab_j29d,1102.0
saab_j29f,1102.0
saab_j32b,1160.0
saab_j35a,1417.0
saab_j35d,1417.0
saab_j35xs,1417.0
saab_ja37,1536.0
saab_ja37d,1536.0
saab_ja37di,1536.0
saab_ja37di_f21,1536.0
saab_jas39a,1543.0
saab_jas39c,1543.0
saab_jas39c_hungary,1543.0
saab_jas39c_south_africa,1543.0
saab_jas39c_thailand,1543.0
saab_jas39d,1543.0
saab_jas39e,1543.0
saab_sk60b,934.0
saab_t18b_1,735.0
saab_t18b_2,735.0
sagittario_2,1125.0
sb2c_1c,656.0
sb2c_4,656.0
sb2c_5_france,656.0
sb2c_5_thailand,656.0
sb2u-2,740.0
sb2u-3,740.0
sb_25j_netherlands,591.0
sb_2m_100,550.0
sb_2m_103_mv3,580.0
sb_2m_103c,580.0
sb_2m_103u,580.0
sb_2m_103u_china,580.0
sb_2m_103u_mv3,580.0
sb_2m_105,600.0
sbd-3,740.0
scimitar_f1,1322.0
sea_fury_fb11,826.0
sea_fury_fb51,826.0
sea_harrier_fa2,1463.0
sea_hawk_fga50_netherlands,1012.0
sea_hawk_fga6,1012.0
sea_hawk_mk100,1012.0
sea_venom_faw20,1045.0
seafire_fr47,890.0
seafire_mk17,788.0
seafire_mk3,760.0
seafire_mk3_france,760.0
shackleton_mr_mk_2,583.0
sm_79_1936,530.0
sm_79_1936_italy,530.0
sm_79_1937,530.0
